7C,7C,7C
00,00,FC
00,00,BC
44,28,BC
94,00,84
A8,00,20
A8,10,00
88,14,00
50,30,00
00,78,00
00,68,00
00,58,00
00,40,58
00,00,00
00,00,00
00,00,00
BC,BC,BC
00,78,F8
00,58,F8
68,44,FC
D8,00,CC
E4,00,58
F8,38,00
E4,5C,10
AC,7C,00
00,B8,00
00,A8,00
00,A8,44
00,88,88
00,00,00
00,00,00
00,00,00
F8,F8,F8
3C,BC,FC
68,88,FC
98,78,F8
F8,78,F8
F8,58,98
F8,78,58
FC,A0,44
F8,B8,00
B8,F8,18
58,D8,54
58,F8,98
00,E8,D8
78,78,78
00,00,00
00,00,00
FC,FC,FC
A4,E4,FC
B8,B8,F8
D8,B8,F8
F8,B8,F8
F8,A4,C0
F0,D0,B0
FC,E0,A8
F8,D8,78
D8,F8,78
B8,F8,B8
B8,F8,D8
00,FC,FC
F8,D8,F8
00,00,00
00,00,00
